Date de sortie,Heure,Actuel,Prév.,Précédent,Rate Change Indicator
2024-12-18,20:00:00,,,0.0475,
2024-11-07,20:00:00,0.0475,0.0475,0.05,1.0
2024-09-18,19:00:00,0.05,0.0525,0.055,1.0
2024-07-31,19:00:00,0.055,0.055,0.055,2.0
2024-06-12,19:00:00,0.055,0.055,0.055,2.0
2024-05-01,19:00:00,0.055,0.055,0.055,2.0
2024-03-20,19:00:00,0.055,0.055,0.055,2.0
2024-01-31,20:00:00,0.055,0.055,0.055,2.0
2023-12-13,20:00:00,0.055,0.055,0.055,2.0
2023-11-01,19:00:00,0.055,0.055,0.055,2.0
2023-09-20,19:00:00,0.055,0.055,0.055,2.0
2023-07-26,19:00:00,0.055,0.055,0.0525,3.0
2023-06-14,19:00:00,0.0525,0.0525,0.0525,2.0
2023-05-03,19:00:00,0.0525,0.0525,0.05,3.0
2023-03-22,19:00:00,0.05,0.05,0.0475,3.0
2023-02-01,20:00:00,0.0475,0.0475,0.045,3.0
2022-12-14,20:00:00,0.045,0.045,0.04,3.0
2022-11-02,19:00:00,0.04,0.04,0.0325,3.0
2022-09-21,19:00:00,0.0325,0.0325,0.025,3.0
2022-07-27,19:00:00,0.025,0.025,0.0175,3.0
2022-06-15,19:00:00,0.0175,0.015,0.01,3.0
2022-05-04,19:00:00,0.01,0.01,0.005,3.0
2022-03-16,19:00:00,0.005,0.005,0.0025,3.0
2022-01-26,20:00:00,0.0025,0.0025,0.0025,2.0
2021-12-15,20:00:00,0.0025,0.0025,0.0025,2.0
2021-11-03,19:00:00,0.0025,0.0025,0.0025,2.0
2021-09-22,19:00:00,0.0025,0.0025,0.0025,2.0
2021-07-28,19:00:00,0.0025,0.0025,0.0025,2.0
2021-06-16,19:00:00,0.0025,0.0025,0.0025,2.0
2021-04-28,19:00:00,0.0025,0.0025,0.0025,2.0
2021-03-17,19:00:00,0.0025,0.0025,0.0025,2.0
2021-01-27,20:00:00,0.0025,0.0025,0.0025,2.0
2020-12-16,20:00:00,0.0025,0.0025,0.0025,2.0
2020-11-05,20:00:00,0.0025,0.0025,0.0025,2.0
2020-09-16,19:00:00,0.0025,0.0025,0.0025,2.0
2020-07-29,19:00:00,0.0025,0.0025,0.0025,2.0
2020-06-10,19:00:00,0.0025,0.0025,0.0025,2.0
2020-04-29,19:00:00,0.0025,0.0025,0.0025,2.0
2020-03-15,22:00:00,0.0025,,0.0125,1.0
2020-03-03,16:00:00,0.0125,,0.0175,1.0
2020-01-29,20:00:00,0.0175,0.0175,0.0175,2.0
2019-12-11,20:00:00,0.0175,0.0175,0.0175,2.0
2019-10-30,19:00:00,0.0175,0.0175,0.02,1.0
2019-09-18,19:00:00,0.02,0.02,0.0225,1.0
2019-07-31,19:00:00,0.0225,0.0225,0.025,1.0
2019-06-19,19:00:00,0.025,0.025,0.025,2.0
2019-05-01,19:00:00,0.025,0.025,0.025,2.0
2019-03-20,19:00:00,0.025,0.025,0.025,2.0
2019-01-30,20:00:00,0.025,0.025,0.025,2.0
2018-12-19,20:00:00,0.025,0.025,0.0225,3.0
2018-11-08,20:00:00,0.0225,0.0225,0.0225,2.0
2018-09-26,19:00:00,0.0225,0.0225,0.02,3.0
2018-08-01,19:00:00,0.02,0.02,0.02,2.0
2018-06-13,19:00:00,0.02,0.02,0.0175,3.0
2018-05-02,19:00:00,0.0175,0.0175,0.0175,2.0
2018-03-21,19:00:00,0.0175,0.0175,0.015,3.0
2018-01-31,20:00:00,0.015,0.015,0.015,2.0
2017-12-13,20:00:00,0.015,0.015,0.0125,3.0
2017-11-01,19:00:00,0.0125,0.0125,0.0125,2.0
2017-09-20,19:00:00,0.0125,0.0125,0.0125,2.0
2017-07-26,19:00:00,0.0125,0.0125,0.0125,2.0
2017-06-14,19:00:00,0.0125,0.0125,0.01,3.0
2017-05-03,19:00:00,0.01,0.01,0.01,2.0
2017-03-15,19:00:00,0.01,0.01,0.0075,3.0
2017-02-01,20:00:00,0.0075,0.0075,0.0075,2.0
2016-12-14,20:00:00,0.0075,0.0075,0.005,3.0
2016-11-02,19:00:00,0.005,0.005,0.005,2.0
2016-09-21,19:00:00,0.005,0.005,0.005,2.0
2016-07-27,19:00:00,0.005,0.005,0.005,2.0
2016-06-15,19:00:00,0.005,0.005,0.005,2.0
2016-04-27,19:00:00,0.005,0.005,0.005,2.0
2016-03-16,19:00:00,0.005,0.005,0.005,2.0
2016-01-27,20:00:00,0.005,0.005,0.005,2.0
2015-12-16,20:00:00,0.005,0.005,0.0025,3.0
2015-10-28,19:00:00,0.0025,0.0025,0.0025,2.0
2015-09-17,19:00:00,0.0025,0.0025,0.0025,2.0
2015-07-29,19:00:00,0.0025,0.0025,0.0025,2.0
2015-06-17,19:00:00,0.0025,0.0025,0.0025,2.0
2015-04-29,19:00:00,0.0025,0.0025,0.0025,2.0
2015-03-18,19:00:00,0.0025,0.0025,0.0025,2.0
2015-01-28,20:00:00,0.0025,0.0025,0.0025,2.0
2014-12-17,20:00:00,0.0025,0.0025,0.0025,2.0
2014-10-29,19:00:00,0.0025,0.0025,0.0025,2.0
2014-09-17,19:00:00,0.0025,0.0025,0.0025,2.0
2014-07-30,19:00:00,0.0025,0.0025,0.0025,2.0
2014-06-18,19:00:00,0.0025,0.0025,0.0025,2.0
2014-04-30,19:00:00,0.0025,0.0025,0.0025,2.0
2014-03-19,19:00:00,0.0025,0.0025,0.0025,2.0
2014-01-29,20:00:00,0.0025,0.0025,0.0025,2.0
2013-12-18,20:00:00,0.0025,0.0025,0.0025,2.0
2013-10-30,19:00:00,0.0025,0.0025,0.0025,2.0
2013-09-18,19:00:00,0.0025,0.0025,0.0025,2.0
2013-07-31,19:00:00,0.0025,0.0025,0.0025,2.0
2013-06-19,19:00:00,0.0025,0.0025,0.0025,2.0
2013-05-01,19:00:00,0.0025,0.0025,0.0025,2.0
2013-03-20,19:00:00,0.0025,0.0025,0.0025,2.0
2013-01-30,20:15:00,0.0025,0.0025,0.0025,2.0
2012-12-12,18:30:00,0.0025,0.0025,0.0025,2.0
2012-10-24,19:15:00,0.0025,0.0025,0.0025,2.0
2012-09-13,17:30:00,0.0025,0.0025,0.0025,2.0
2012-08-01,19:15:00,0.0025,0.0025,0.0025,2.0
2012-06-20,17:30:00,0.0025,0.0025,0.0025,2.0
2012-04-25,17:30:00,0.0025,0.0025,0.0025,2.0
2012-03-13,19:15:00,0.0025,0.0025,0.0025,2.0
2012-01-25,18:30:00,0.0025,0.0025,0.0025,2.0
2011-12-13,20:15:00,0.0025,0.0025,0.0025,2.0
2011-11-02,17:30:00,0.0025,0.0025,0.0025,2.0
2011-09-21,19:15:00,0.0025,0.0025,0.0025,2.0
2011-08-09,19:15:00,0.0025,0.0025,0.0025,2.0
2011-06-22,17:30:00,0.0025,0.0025,0.0025,2.0
2011-04-27,17:30:00,0.0025,0.0025,0.0025,2.0
2011-03-15,19:15:00,0.0025,0.0025,0.0025,2.0
2011-01-26,20:15:00,0.0025,0.0025,0.0025,2.0
2010-12-14,20:15:00,0.0025,0.0025,0.0025,2.0
2010-11-03,19:15:00,0.0025,0.0025,0.0025,2.0
2010-09-21,19:15:00,0.0025,0.0025,0.0025,2.0
2010-08-10,19:15:00,0.0025,0.0025,0.0025,2.0
2010-06-23,19:15:00,0.0025,0.0025,0.0025,2.0
2010-04-28,19:15:00,0.0025,0.0025,0.0025,2.0
2010-03-16,19:15:00,0.0025,0.0025,0.0025,2.0
2010-01-27,20:15:00,0.0025,0.0025,0.0025,2.0
2009-12-16,20:15:00,0.0025,0.0025,0.0025,2.0
2009-11-04,20:15:00,0.0025,0.0025,0.0025,2.0
2009-09-23,19:15:00,0.0025,0.0025,0.0025,2.0
2009-08-12,19:15:00,0.0025,0.0025,0.0025,2.0
2009-06-24,19:15:00,0.0025,0.0025,0.0025,2.0
2009-04-29,19:15:00,0.0025,0.0025,0.0025,2.0
2009-03-18,19:15:00,0.0025,0.0025,0.0025,2.0
2009-01-28,20:15:00,0.0025,0.0025,0.0025,2.0
2008-12-16,20:15:00,0.0025,0.005,0.01,1.0
2008-10-29,19:15:00,0.01,0.01,0.015,1.0
2008-10-08,12:00:00,0.015,,0.02,1.0
2008-09-16,19:15:00,0.02,0.02,0.02,2.0
2008-08-05,19:15:00,0.02,,0.02,2.0
2008-06-25,19:15:00,0.02,0.02,0.02,2.0
2008-04-30,19:15:00,0.02,0.02,0.0225,1.0
2008-03-18,19:15:00,0.0225,0.025,0.03,1.0
2008-01-30,19:15:00,0.03,,0.035,1.0
2008-01-22,19:15:00,0.035,,0.0425,1.0
2007-12-11,19:00:00,0.0425,,0.045,1.0
2007-10-31,19:00:00,0.045,,0.0475,1.0
2007-09-18,19:00:00,0.0475,,0.0525,1.0
2006-06-29,19:00:00,0.0525,,0.05,3.0
2006-05-10,19:00:00,0.05,,0.0475,3.0
2006-03-28,19:00:00,0.0475,,0.045,3.0
2006-01-31,19:00:00,0.045,,0.0425,3.0
2005-12-13,19:00:00,0.0425,,0.04,3.0
2005-11-01,19:00:00,0.04,,0.0375,3.0
2005-09-20,19:00:00,0.0375,,0.035,3.0
2005-08-09,19:00:00,0.035,,0.0325,3.0
2005-06-30,19:00:00,0.0325,,0.03,3.0
2005-05-03,19:00:00,0.03,,0.0275,3.0
2005-03-22,19:00:00,0.0275,,0.025,3.0
2005-02-02,19:00:00,0.025,,0.0225,3.0
2004-12-14,19:00:00,0.0225,,0.02,3.0
2004-11-10,19:00:00,0.02,,0.0175,3.0
2004-09-21,19:00:00,0.0175,,0.015,3.0
2004-08-10,19:00:00,0.015,,0.0125,3.0
2004-06-30,19:00:00,0.0125,,0.01,3.0
2003-06-25,19:00:00,0.01,,0.0125,1.0
2002-11-06,19:00:00,0.0125,,0.0175,1.0
2001-12-11,19:00:00,0.0175,,0.02,1.0
2001-11-06,19:00:00,0.02,,0.025,1.0
2001-10-02,19:00:00,0.025,,0.03,1.0
2001-09-17,19:00:00,0.03,,0.035,1.0
2001-08-21,19:00:00,0.035,,0.0375,1.0
2001-06-27,19:00:00,0.0375,,0.04,1.0
2001-05-15,19:00:00,0.04,,0.045,1.0
2001-04-18,19:00:00,0.045,,0.05,1.0
2001-03-20,19:00:00,0.05,,0.055,1.0
2001-01-31,19:00:00,0.055,,0.06,1.0
2001-01-03,19:00:00,0.06,,0.065,1.0
2000-05-16,19:00:00,0.065,,0.06,3.0
2000-03-21,19:00:00,0.06,,0.0575,3.0
2000-02-02,19:00:00,0.0575,,0.055,3.0
1999-11-16,19:00:00,0.055,,0.0525,3.0
1999-08-24,19:00:00,0.0525,,0.05,3.0
1999-06-30,19:00:00,0.05,,0.0475,3.0
1998-11-17,19:00:00,0.0475,,0.05,1.0
1998-10-15,19:00:00,0.05,,0.0525,1.0
1998-09-29,19:00:00,0.0525,,0.055,1.0
1997-03-25,19:00:00,0.055,,0.0525,3.0
1996-01-31,19:00:00,0.0525,,0.055,1.0
1995-12-19,19:00:00,0.055,,0.0575,1.0
1995-07-06,19:00:00,0.0575,,0.06,1.0
1995-02-01,19:00:00,0.06,,0.055,3.0
1994-11-15,19:00:00,0.055,,0.0475,3.0
1994-08-16,19:00:00,0.0475,,0.0425,3.0
1994-05-17,19:00:00,0.0425,,0.0375,3.0
1994-04-18,19:00:00,0.0375,,0.035,3.0
1994-03-22,19:00:00,0.035,,0.0325,3.0
1994-02-04,19:00:00,0.0325,,0.03,3.0
1992-09-04,19:00:00,0.03,,0.0325,1.0
1992-07-02,19:00:00,0.0325,,0.0375,1.0
1992-04-09,19:00:00,0.0375,,0.04,1.0
1991-12-20,19:00:00,0.04,,0.045,1.0
1991-12-06,19:00:00,0.045,,0.0475,1.0
1991-11-06,19:00:00,0.0475,,0.05,1.0
1991-10-31,19:00:00,0.05,,0.0525,1.0
1991-09-13,19:00:00,0.0525,,0.055,1.0
1991-08-06,19:00:00,0.055,,0.0575,1.0
1991-04-30,19:00:00,0.0575,,0.06,1.0
1991-03-08,19:00:00,0.06,,0.0625,1.0
1991-02-01,19:00:00,0.0625,,0.0675,1.0
1991-01-09,19:00:00,0.0675,,0.07,1.0
1990-12-19,19:00:00,0.07,,0.0725,1.0
1990-12-07,19:00:00,0.0725,,0.075,1.0
1990-11-14,19:00:00,0.075,,0.0775,1.0
1990-10-29,19:00:00,0.0775,,0.08,1.0
1990-07-13,19:00:00,0.08,,0.0825,1.0
1989-12-20,19:00:00,0.0825,,0.085,1.0
1989-11-06,19:00:00,0.085,,0.0875,1.0
1989-10-19,19:00:00,0.0875,,0.0906,1.0
1989-07-27,19:00:00,0.0906,,0.0931,1.0
1989-07-07,19:00:00,0.0931,,0.0956,1.0
1989-06-06,19:00:00,0.0956,,0.0981,1.0
1989-05-17,19:00:00,0.0981,,0.0975,3.0
1989-02-24,19:00:00,0.0975,,0.0931,3.0
1989-02-14,19:00:00,0.0931,,0.0912,3.0
1989-02-09,19:00:00,0.0912,,0.09,3.0
1989-01-05,19:00:00,0.09,,0.0868,3.0
1988-12-15,19:00:00,0.0868,,0.0837,3.0
1988-11-22,19:00:00,0.0837,,0.0831,3.0
1988-11-17,19:00:00,0.0831,,0.0812,3.0
1988-08-09,19:00:00,0.0812,,0.0775,3.0
1988-08-08,19:00:00,0.0775,,0.0768,3.0
1988-07-19,19:00:00,0.0768,,0.075,3.0
1988-07-01,19:00:00,0.075,,0.0743,3.0
1988-06-22,19:00:00,0.0743,,0.0725,3.0
1988-05-25,19:00:00,0.0725,,0.07,3.0
1988-05-09,19:00:00,0.07,,0.0675,3.0
1988-03-30,19:00:00,0.0675,,0.065,3.0
1988-02-11,19:00:00,0.065,,0.0662,1.0
1988-01-28,19:00:00,0.0662,,0.0681,1.0
1987-11-04,19:00:00,0.0681,,0.0731,1.0
1987-09-24,19:00:00,0.0731,,0.0725,3.0
1987-09-04,19:00:00,0.0725,,0.0687,3.0
1987-09-03,19:00:00,0.0687,,0.0675,3.0
1987-08-27,19:00:00,0.0675,,0.0662,3.0
1987-07-02,19:00:00,0.0662,,0.0675,1.0
1987-05-22,19:00:00,0.0675,,0.065,3.0
1987-04-30,19:00:00,0.065,,0.06,3.0
1987-01-05,19:00:00,0.06,,0.0587,3.0
1986-08-21,19:00:00,0.0587,,0.0637,1.0
1986-07-11,19:00:00,0.0637,,0.0687,1.0
1986-06-05,19:00:00,0.0687,,0.0681,3.0
1986-05-22,19:00:00,0.0681,,0.0675,3.0
1986-04-21,19:00:00,0.0675,,0.0731,1.0
1986-04-02,19:00:00,0.0731,,0.0725,3.0
1986-03-07,19:00:00,0.0725,,0.0775,1.0
1985-12-18,19:00:00,0.0775,,0.08,1.0
1985-09-06,19:00:00,0.08,,0.0781,3.0
1985-08-21,19:00:00,0.0781,,0.0775,3.0
1985-07-25,19:00:00,0.0775,,0.0768,3.0
1985-07-11,19:00:00,0.0768,,0.0775,1.0
1985-05-20,19:00:00,0.0775,,0.0825,1.0
1985-04-25,19:00:00,0.0825,,0.085,1.0
1985-03-28,19:00:00,0.085,,0.0837,3.0
1985-02-14,19:00:00,0.0837,,0.0825,3.0
1985-01-24,19:00:00,0.0825,,0.0812,3.0
1984-12-24,19:00:00,0.0812,,0.085,1.0
1984-12-19,19:00:00,0.085,,0.0875,1.0
1984-12-06,19:00:00,0.0875,,0.09,1.0
1984-11-23,19:00:00,0.09,,0.095,1.0
1984-11-08,19:00:00,0.095,,0.1,1.0
1984-10-18,19:00:00,0.1,,0.105,1.0
1984-10-11,19:00:00,0.105,,0.11,1.0
1984-09-27,19:00:00,0.11,,0.1125,1.0
1984-09-20,19:00:00,0.1125,,0.115,1.0
1984-08-09,19:00:00,0.115,,0.1125,3.0
1984-07-19,19:00:00,0.1125,,0.11,3.0
1984-07-05,19:00:00,0.11,,0.105,3.0
1984-03-29,19:00:00,0.105,,0.0937,3.0
1983-09-15,19:00:00,0.0937,,0.095,1.0
1983-08-17,19:00:00,0.095,,0.0956,1.0
1983-08-11,19:00:00,0.0956,,0.0943,3.0
1983-07-20,19:00:00,0.0943,,0.0925,3.0
1983-07-14,19:00:00,0.0925,,0.09,3.0
1983-06-24,19:00:00,0.09,,0.0875,3.0
1983-05-25,19:00:00,0.0875,,0.0862,3.0
1983-03-31,19:00:00,0.0862,,0.085,3.0
1982-12-14,19:00:00,0.085,,0.09,1.0
1982-11-19,19:00:00,0.09,,0.095,1.0
1982-10-07,19:00:00,0.095,,0.1,1.0
1982-10-01,19:00:00,0.1,,0.1025,1.0
1982-09-27,19:00:00,0.1025,,,
